char,word,tier,rep,pg
lydia,bronze,1,0,11
lydia,bronze,1,0,49
lydia,bronze,1,0,59
lydia,bronze,1,0,74
lydia,bronze,1,0,97
lydia,bronze,1,0,112
lydia,bronze,1,0,115
lydia,bronze,1,0,141
lydia,bronze,1,0,147
lydia,bronze,1,0,158
lydia,bronze,1,0,159
lydia,bronze,1,0,174
lydia,bronze,1,0,175
lydia,bronze,1,1,175
lydia,bronze,1,0,266
lydia,bronze,1,0,338
lydia,bronze,1,0,347
lydia,bronze,1,0,365
lydia,bronze,1,0,394
lydia,bronze,1,0,423
lydia,bronze,1,1,423
lydia,bronze,1,0,424
lydia,bronze,1,0,454
lydia,bronze,1,0,463
lydia,bronze,1,0,516
lydia,bronze,1,0,549
lydia,bronze,1,0,660
lydia,bronze,1,0,760
lydia,bronze,1,0,1135
lydia,bronze,1,0,1213
lydia,bronze,1,0,1269
lydia,bronze,1,0,1270
lydia,bronze,1,0,1281
lydia,bronze,1,0,1
lydia,bronze,1,0,48
lydia,bronze,1,0,64
lydia,bronze,1,0,200
lydia,bronze,1,0,398
lydia,bronze,1,1,454
lydia,bronze,1,0,920
lydia,bronze,1,0,937
lydia,bronze,1,0,1044
lydia,bronze,1,0,1046
mina,gold,1,0,1
mina,gold,1,0,4
mina,gold,1,0,10
mina,gold,1,0,48
mina,gold,1,0,49
mina,gold,1,0,59
mina,gold,1,0,64
mina,gold,1,0,71
mina,gold,1,0,82
mina,gold,1,0,83
mina,gold,1,0,112
mina,gold,1,0,158
mina,gold,1,0,159
mina,gold,1,0,174
mina,gold,1,0,175
mina,gold,1,1,175
mina,gold,1,0,184
mina,gold,1,0,191
mina,gold,1,0,215
mina,gold,1,0,246
mina,gold,1,0,312
mina,gold,1,0,338
mina,gold,1,0,453
mina,gold,1,0,464
mina,gold,1,0,516
mina,gold,1,0,662
mina,gold,1,0,682
mina,gold,1,0,760
mina,gold,1,0,931
mina,gold,1,0,937
mina,gold,1,0,1136
mina,gold,1,0,1213
mina,gold,1,0,1269
mina,gold,1,0,1282
mina,gold,1,0,7
mina,gold,1,0,549
mina,gold,1,0,580
mina,gold,1,0,581
mina,gold,1,0,1090
richie,gold,2,0,343
richie,gold,2,0,354
richie,gold,2,0,390
richie,gold,2,0,521
richie,gold,2,0,523
richie,gold,2,0,570
richie,gold,2,0,609
richie,gold,2,0,643
richie,gold,2,0,720
richie,gold,2,0,768
richie,gold,2,0,784
richie,gold,2,0,786
richie,gold,2,0,797
richie,gold,2,0,828
richie,gold,2,0,1028
richie,gold,2,0,1070
richie,gold,2,0,1164
richie,gold,2,0,1227
minlyd,hoof,1,0,1
minlyd,hoof,1,0,59
minlyd,hoof,1,0,65
minlyd,hoof,1,0,113
minlyd,hoof,1,1,113
minlyd,hoof,1,2,113
minlyd,hoof,1,0,545
minlyd,hoof,1,1,545
minlyd,steel,1,0,1
minlyd,steel,1,0,65
minlyd,steel,1,0,112
minlyd,steel,1,0,113
minlyd,steel,1,1,113
minlyd,steel,1,0,545
minlyd,steel,1,0,550
minlyd,ring,1,0,65
minlyd,ring,1,0,113
minlyd,ring,1,1,113
minlyd,ring,1,2,113
minlyd,ring,1,0,175
minlyd,ring,1,0,545
minlyd,ring,1,1,545
minlyd,ring,1,0,1117
minlyd,ring,1,0,850
minlyd,ring,1,1,850
minlyd,ring,1,0,853
minlyd,ring,1,0,1
minlyd,ring,2,0,105
boylan,ring,3,0,16
boylan,ring,3,0,371
dedalus,chips,1,0,3
dedalus,chips,1,1,3
dedalus,chips,1,0,192
dedalus,chips,1,2,3
dedalus,chips,1,1,192
dedalus,chips,1,0,193
dedalus,chips,1,0,223
mina,flush,1,0,4
mina,flush,1,0,178
mina,flush,1,0,184
mina,flush,1,0,784
mina,flush,1,0,1070
mina,flush,1,0,191
dedalus,note,1,0,5
dedalus,note,1,0,161
dedalus,note,1,0,218
dedalus,note,1,0,323
dedalus,note,1,0,397
dedalus,note,1,0,561
dedalus,note,1,0,624
dedalus,note,1,0,630
dedalus,note,1,0,632
dedalus,note,1,0,742
dedalus,note,1,0,781
dedalus,note,1,0,826
dedalus,note,1,0,1024
dedalus,note,1,0,1195
dedalus,note,1,0,13
bloom,Bloo,1,0,19
bloom,Bloo,1,0,49
bloom,Bloo,1,1,49
bloom,Bloo,1,0,86
bloom,Bloo,1,0,102
bloom,Bloo,1,0,133
bloom,Bloo,1,0,149
bloom,Bloo,1,0,151
bloom,Bloo,1,0,180
bloom,Bloo,1,0,228
bloom,Bloo,1,0,229
bloom,Bloo,1,0,230
bloom,Bloo,1,1,230
bloom,Bloo,1,0,296
bloom,Bloo,1,0,299
bloom,Bloo,1,0,309
bloom,Bloo,1,1,309
bloom,Bloo,1,0,341
bloom,Bloo,1,0,358
bloom,Bloo,1,0,390
bloom,Bloo,1,0,445
bloom,Bloo,1,0,457
bloom,Bloo,1,1,457
bloom,Bloo,1,0,476
bloom,Bloo,1,0,496
bloom,Bloo,1,0,522
bloom,Bloo,1,0,523
bloom,Bloo,1,0,553
bloom,Bloo,1,0,569
bloom,Bloo,1,0,608
bloom,Bloo,1,0,614
bloom,Bloo,1,0,628
bloom,Bloo,1,0,637
bloom,Bloo,1,0,642
bloom,Bloo,1,0,646
bloom,Bloo,1,0,669
bloom,Bloo,1,0,681
bloom,Bloo,1,0,682
bloom,Bloo,1,0,704
bloom,Bloo,1,0,705
bloom,Bloo,1,0,720
bloom,Bloo,1,0,768
bloom,Bloo,1,0,776
bloom,Bloo,1,0,784
bloom,Bloo,1,0,786
bloom,Bloo,1,0,787
bloom,Bloo,1,0,795
bloom,Bloo,1,0,802
bloom,Bloo,1,0,824
bloom,Bloo,1,0,829
bloom,Bloo,1,0,856
bloom,Bloo,1,0,860
bloom,Bloo,1,1,860
bloom,Bloo,1,0,863
bloom,Bloo,1,0,886
bloom,Bloo,1,0,887
bloom,Bloo,1,0,888
bloom,Bloo,1,0,934
bloom,Bloo,1,0,1000
bloom,Bloo,1,0,1028
bloom,Bloo,1,0,1071
bloom,Bloo,1,0,1076
bloom,Bloo,1,0,1127
bloom,Bloo,1,0,1130
bloom,Bloo,1,0,1136
bloom,Bloo,1,1,1136
bloom,Bloo,1,0,1137
bloom,Bloo,1,0,1142
bloom,Bloo,1,0,1203
bloom,Bloo,1,0,1221
bloom,Bloo,1,0,1224
bloom,Bloo,1,0,1253
bloom,Bloo,1,0,1262
bloom,Bloo,1,0,1274
bloom,Bloo,1,2,6
bloom,Bloo,1,0,32
bloom,Bloo,1,0,54
bloom,Bloo,1,1,180
bloom,Bloo,1,0,185
bloom,Bloo,1,3,230
bloom,Bloo,1,1,390
bloom,Bloo,1,0,1178
bloom,Bloo,1,0,1284
bloom,Bloo,1,1,1284
bloom,Bloo,2,0,5
bloom,Bloo,2,0,217
bloom,Bloo,2,0,1236
bloom,Bloo,2,0,6
bloom,Bloo,2,0,394
bloom,Bloo,2,0,458
bloom,Bloo,2,0,880
bloom,Bloo,2,0,978
bloom,Bloo,2,0,1126
bloom,Bloo,2,1,6
bloom,Bloo,2,1,151
bloom,Bloo,2,2,230
bloom,Bloo,3,0,58
bloom,Bloo,3,0,1288
minlyd,hair,1,0,7
minlyd,hair,1,0,45
minlyd,hair,1,0,81
minlyd,hair,1,0,82
minlyd,hair,1,0,83
minlyd,hair,1,0,166
minlyd,hair,1,0,222
minlyd,hair,1,1,222
minlyd,hair,1,0,348
minlyd,hair,1,0,547
minlyd,hair,1,0,726
minlyd,hair,1,0,809
minlyd,hair,1,0,942
minlyd,hair,1,0,1108
minlyd,hair,1,0,1135
minlyd,hair,1,0,1239
minlyd,hair,1,0,301
minlyd,hair,1,0,941
lydia,rose,1,0,8
lydia,rose,1,1,8
lydia,rose,1,0,14
lydia,rose,1,0,54
lydia,rose,1,0,181
lydia,rose,1,0,329
lydia,rose,1,0,331
lydia,rose,1,1,331
lydia,rose,1,0,332
lydia,rose,1,0,348
lydia,rose,1,0,398
lydia,rose,1,1,398
lydia,rose,1,0,603
lydia,rose,1,0,660
lydia,rose,1,0,693
lydia,rose,1,0,907
lydia,rose,1,0,920
lydia,rose,1,0,1107
lydia,rose,1,1,1107
lydia,rose,1,2,1107
lydia,rose,1,0,1109
lydia,rose,1,0,1134
lydia,rose,1,0,1152
lydia,rose,1,0,1159
lydia,rose,1,0,1178
lydia,rose,1,0,1271
lydia,rose,1,1,1271
minlyd,satin,1,0,8
minlyd,satin,1,1,8
minlyd,satin,1,0,110
minlyd,satin,1,0,203
minlyd,satin,1,0,360
minlyd,satin,1,0,813
minlyd,satin,1,0,1039
minlyd,satin,1,0,1106
minlyd,satin,1,0,1134
lydia,Castile,1,0,8
